CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
396,2,Bronx,039600,2039600,E,BX44,Williamsbridge-Olinville,3702,6233.37021321000,2402726.49670000002
398,2,Bronx,039800,2039800,I,BX44,Williamsbridge-Olinville,3702,5909.03419448000,2172955.46413000021
399.02,2,Bronx,039902,2039902,E,BX05,Bedford Park-Fordham North,3706,5160.37102537000,1309646.58385000005
401,2,Bronx,040100,2040100,E,BX05,Bedford Park-Fordham North,3706,5663.36424847000,1841945.93986999989
403.03,2,Bronx,040303,2040303,E,BX28,Van Cortlandt Village,3701,3875.77122262000,949187.77442799998
403.04,2,Bronx,040304,2040304,E,BX28,Van Cortlandt Village,3701,3459.31891875000,723328.26170300005
404,2,Bronx,040400,2040400,I,BX44,Williamsbridge-Olinville,3702,6116.02702416000,2316966.97518000007
405.01,2,Bronx,040501,2040501,E,BX05,Bedford Park-Fordham North,3706,4542.80527602000,873437.24116300000
405.02,2,Bronx,040502,2040502,E,BX05,Bedford Park-Fordham North,3706,5358.57027473000,1534114.72646000003
406,2,Bronx,040600,2040600,I,BX44,Williamsbridge-Olinville,3702,6241.56702847000,2403938.47257999983
407.01,2,Bronx,040701,2040701,E,BX28,Van Cortlandt Village,3701,3907.03269963000,630566.02919200005
407.02,2,Bronx,040702,2040702,E,BX05,Bedford Park-Fordham North,3706,6195.82439835000,1956959.06587999989
415,2,Bronx,041500,2041500,E,BX05,Bedford Park-Fordham North,3706,5181.19317506000,1471378.17681999994
422,2,Bronx,042200,2042200,E,BX44,Williamsbridge-Olinville,3702,5599.16123670000,1884434.55343000009
423,2,Bronx,042300,2042300,E,BX43,Norwood,3706,6174.66356787000,1939179.59664999996
