COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,uber_data_uber_count,green_data_green_data,yellow_data_yellow_count
61,4300,36061004300,43,Census Tract 43,149239,0,37054,18,444369
5,4300,36005004300,43,Census Tract 43,225393,0,81,4411,385
61,4400,36061004400,44,Census Tract 44,410012,465240,17021,15,247822
47,4400,36047004400,44,Census Tract 44,419483,817305,201,52,88
5,4400,36005004400,44,Census Tract 44,265578,0,34,694,175
81,4401,36081004401,44.01,Census Tract 44.01,260850,0,81,89,99
81,4500,36081004500,45,Census Tract 45,220374,0,414,5790,10966
61,4500,36061004500,45,Census Tract 45,104946,0,30104,11,313089
47,4500,36047004500,45,Census Tract 45,170538,0,3202,30680,31700
47,4600,36047004600,46,Census Tract 46,289094,528144,106,28,45
5,4600,36005004600,46,Census Tract 46,135340,0,25,438,47
81,4700,36081004700,47,Census Tract 47,179250,0,333,3971,11573
85,4700,36085004700,47,Census Tract 47,895660,0,17,7,11
61,4700,36061004700,47,Census Tract 47,165421,0,39030,16,350361
47,4700,36047004700,47,Census Tract 47,283961,0,2189,4445,4776
61,4800,36061004800,48,Census Tract 48,175756,0,12267,8,389354
5,4800,36005004800,48,Census Tract 48,150832,0,19,1754,56
61,4900,36061004900,49,Census Tract 49,207319,0,49487,12,450108
47,4900,36047004900,49,Census Tract 49,97532,0,1625,4092,4069
81,5000,36081005000,50,Census Tract 50,154442,0,2,7,13
85,5000,36085005000,50,Census Tract 50,777000,56291,23,1,16
61,5000,36061005000,50,Census Tract 50,166467,0,24820,12,555322
47,5000,36047005000,50,Census Tract 50,223992,535603,193,21,32
5,5001,36005005001,50.01,Census Tract 50.01,97889,0,8,224,44
5,5002,36005005002,50.02,Census Tract 50.02,113902,0,23,1405,76
81,5100,36081005100,51,Census Tract 51,137123,0,432,21513,5402
47,5100,36047005100,51,Census Tract 51,180180,0,1881,3163,3122
5,5100,36005005100,51,Census Tract 51,510448,0,585,13961,7113
61,5200,36061005200,52,Census Tract 52,168892,0,36508,12,701412
5,5200,36005005200,52,Census Tract 52,182689,0,70,418,50
81,5200,36081005200,52,Census Tract 52,130607,0,46,37,23
47,5201,36047005201,52.01,Census Tract 52.01,133678,192294,102,31,25
47,5202,36047005202,52.02,Census Tract 52.02,133273,440002,146,21,42
81,5300,36081005300,53,Census Tract 53,196497,0,939,12564,14802
47,5300,36047005300,53,Census Tract 53,1651843,5374846,9315,9306,6050
5,5300,36005005300,53,Census Tract 53,68744,3852,23,587,82
81,5400,36081005400,54,Census Tract 54,416542,0,148,268,151
61,5400,36061005400,54,Census Tract 54,167959,0,33149,4,514112
5,5400,36005005400,54,Census Tract 54,196516,0,36,2171,77
47,5400,36047005400,54,Census Tract 54,161905,125113,211,64,119
81,5500,36081005500,55,Census Tract 55,165967,0,825,4262,4527
61,5501,36061005501,55.01,Census Tract 55.01,124447,0,12958,5,191286
61,5502,36061005502,55.02,Census Tract 55.02,115486,0,28677,10,481823
5,5600,36005005600,56,Census Tract 56,136188,0,18,317,20
61,5600,36061005600,56,Census Tract 56,174425,0,33158,15,687249
47,5601,36047005601,56.01,Census Tract 56.01,173443,207530,167,41,85
47,5602,36047005602,56.02,Census Tract 56.02,135056,356364,201,49,112
81,5700,36081005700,57,Census Tract 57,223565,0,1769,18547,6571
61,5700,36061005700,57,Census Tract 57,108054,0,19454,7,324334
81,5800,36081005800,58,Census Tract 58,590419,0,136,101,107
47,5800,36047005800,58,Census Tract 58,193316,0,367,134,223
61,5800,36061005800,58,Census Tract 58,174668,0,45523,11,741054
85,5900,36085005900,59,Census Tract 59,1387001,6193,25,12,6
61,5900,36061005900,59,Census Tract 59,116172,0,14699,7,190074
81,5900,36081005900,59,Census Tract 59,190210,0,1013,45825,10844
47,5900,36047005900,59,Census Tract 59,355592,0,2069,3132,3750
5,5902,36005005902,59.02,Census Tract 59.02,69637,0,113,3404,218
5,6000,36005006000,60,Census Tract 60,315749,0,23,1117,176
61,6000,36061006000,60,Census Tract 60,118942,300815,6096,6,95765
47,6000,36047006000,60,Census Tract 60,152260,0,313,395,239
81,6100,36081006100,61,Census Tract 61,195052,0,1624,26056,18496
61,6100,36061006100,61,Census Tract 61,142017,0,24659,5,466664
5,6100,36005006100,61,Census Tract 61,242362,0,82,9599,490
47,6200,36047006200,62,Census Tract 62,162273,0,216,485,207
61,6200,36061006200,62,Census Tract 62,293510,862281,8671,17,240723
5,6200,36005006200,62,Census Tract 62,192942,0,34,1166,55
81,6201,36081006201,62.01,Census Tract 62.01,402909,0,85,70,79
81,6202,36081006202,62.02,Census Tract 62.02,1152999,42795,93,129,224
81,6300,36081006300,63,Census Tract 63,212503,0,1670,60835,11860
61,6300,36061006300,63,Census Tract 63,178187,0,24778,14,465743
5,6300,36005006300,63,Census Tract 63,1046236,9963,3771,44998,7055
47,6300,36047006300,63,Census Tract 63,102244,0,1268,1987,2339
85,6400,36085006400,64,Census Tract 64,709504,0,17,2,36
61,6400,36061006400,64,Census Tract 64,179196,0,16692,11,424909
5,6400,36005006400,64,Census Tract 64,168249,0,28,585,39
47,6400,36047006400,64,Census Tract 64,203176,0,255,214,253
5,6500,36005006500,65,Census Tract 65,261808,0,178,19669,1276
61,6500,36061006500,65,Census Tract 65,201132,0,30221,15,589112
47,6500,36047006500,65,Census Tract 65,249988,0,3703,17977,32537
81,6501,36081006501,65.01,Census Tract 65.01,111102,0,803,8963,5783
81,6502,36081006502,65.02,Census Tract 65.02,153366,0,1092,19100,7187
61,6600,36061006600,66,Census Tract 66,174704,0,11203,6,332144
47,6600,36047006600,66,Census Tract 66,153740,0,415,306,284
85,6700,36085006700,67,Census Tract 67,950754,1786,10,4,7
61,6700,36061006700,67,Census Tract 67,168478,0,26679,14,397685
5,6700,36005006700,67,Census Tract 67,212430,0,61,3367,313
47,6700,36047006700,67,Census Tract 67,156140,0,2683,17986,27106
61,6800,36061006800,68,Census Tract 68,174443,0,24875,11,655215
5,6800,36005006800,68,Census Tract 68,154374,0,30,596,17
47,6800,36047006800,68,Census Tract 68,185509,0,330,341,435
81,6900,36081006900,69,Census Tract 69,210779,0,893,15640,11047
5,6900,36005006900,69,Census Tract 69,187977,0,50,2624,350
61,6900,36061006900,69,Census Tract 69,220486,275547,16591,8,196220
47,6900,36047006900,69,Census Tract 69,179082,0,3845,28135,24485
85,7000,36085007000,70,Census Tract 70,2640265,866081,40,5,24
61,7000,36061007000,70,Census Tract 70,177329,0,14811,12,450334
5,7000,36005007000,70,Census Tract 70,204891,0,27,864,67
47,7000,36047007000,70,Census Tract 70,149198,0,108,102,198
81,7100,36081007100,71,Census Tract 71,195059,0,1065,22237,19416
61,7100,36061007100,71,Census Tract 71,164996,0,24014,7,443839
5,7100,36005007100,71,Census Tract 71,264262,0,93,6743,382
47,7100,36047007100,71,Census Tract 71,167532,3828,1147,1725,1231
61,7200,36061007200,72,Census Tract 72,175015,0,24753,18,783570
5,7200,36005007200,72,Census Tract 72,213050,0,54,9615,306
47,7200,36047007200,72,Census Tract 72,62490,0,59,128,139
81,7300,36081007300,73,Census Tract 73,141556,0,924,5976,11154
61,7300,36061007300,73,Census Tract 73,165299,0,32188,9,483500
5,7300,36005007300,73,Census Tract 73,140161,0,42,2304,130
85,7400,36085007400,74,Census Tract 74,541258,442359,19,3,20
61,7400,36061007400,74,Census Tract 74,174085,0,35605,20,749243
47,7400,36047007400,74,Census Tract 74,141287,0,188,581,422
5,7400,36005007400,74,Census Tract 74,187162,0,33,195,22
81,7500,36081007500,75,Census Tract 75,129231,0,696,6107,12962
85,7500,36085007500,75,Census Tract 75,480637,0,5,2,4
61,7500,36061007500,75,Census Tract 75,165732,283835,19015,4,246996
5,7500,36005007500,75,Census Tract 75,227618,0,105,2010,183
47,7500,36047007500,75,Census Tract 75,282781,0,4344,25028,21618
47,7600,36047007600,76,Census Tract 76,138336,0,122,349,311
5,7600,36005007600,76,Census Tract 76,217217,0,27,1937,141
61,7600,36061007600,76,Census Tract 76,174274,0,25360,15,744344
81,7700,36081007700,77,Census Tract 77,126674,0,502,6628,10527
85,7700,36085007700,77,Census Tract 77,248537,0,1,0,1
61,7700,36061007700,77,Census Tract 77,178798,0,27982,6,485981
47,7700,36047007700,77,Census Tract 77,389479,0,3725,16304,16673
5,7700,36005007700,77,Census Tract 77,112826,0,25,1045,87
47,7800,36047007800,78,Census Tract 78,138114,0,141,321,262
61,7800,36061007800,78,Census Tract 78,177474,0,15489,14,406271
5,7800,36005007800,78,Census Tract 78,311879,0,67,910,153
81,7900,36081007900,79,Census Tract 79,160511,0,486,5216,8451
61,7900,36061007900,79,Census Tract 79,285956,502030,60893,29,811962
5,7900,36005007900,79,Census Tract 79,197930,0,62,2403,132
61,8000,36061008000,80,Census Tract 80,172626,0,25413,21,805894
47,8000,36047008000,80,Census Tract 80,139122,0,264,499,448
81,8100,36081008100,81,Census Tract 81,112317,0,454,956,735
85,8100,36085008100,81,Census Tract 81,820533,208775,5,0,3
61,8100,36061008100,81,Census Tract 81,174287,0,24394,11,490811
61,8200,36061008200,82,Census Tract 82,172401,0,30649,16,701726
47,8200,36047008200,82,Census Tract 82,139683,0,184,519,482
81,8300,36081008300,83,Census Tract 83,191338,0,427,4063,9348
61,8300,36061008300,83,Census Tract 83,174158,0,44038,22,757254
5,8300,36005008300,83,Census Tract 83,213932,0,46,2644,123
61,8400,36061008400,84,Census Tract 84,173067,0,35636,16,531022
5,8400,36005008400,84,Census Tract 84,156789,0,25,100,6
47,8400,36047008400,84,Census Tract 84,243910,0,651,4538,2601
81,8500,36081008500,85,Census Tract 85,273044,0,240,2048,3134
5,8500,36005008500,85,Census Tract 85,181658,0,48,1874,131
47,8500,36047008500,85,Census Tract 85,243576,0,194,430,231
81,8600,36081008600,86,Census Tract 86,332283,0,82,198,200
5,8600,36005008600,86,Census Tract 86,187658,0,44,307,9
47,8600,36047008600,86,Census Tract 86,113543,0,56,66,34
61,8601,36061008601,86.01,Census Tract 86.01,125340,499842,5955,8,134872
61,8602,36061008602,86.02,Census Tract 86.02,106753,317001,1077,11,40402
61,8603,36061008603,86.03,Census Tract 86.03,116669,153941,6265,3,130843
81,8700,36081008700,87,Census Tract 87,253378,2387,101,901,392
61,8700,36061008700,87,Census Tract 87,165443,0,23488,8,483303
5,8700,36005008700,87,Census Tract 87,213574,0,41,1838,61
81,8800,36081008800,88,Census Tract 88,448521,0,67,133,312
61,8800,36061008800,88,Census Tract 88,179256,0,19069,20,518829
47,8800,36047008800,88,Census Tract 88,189369,0,232,505,262
61,8900,36061008900,89,Census Tract 89,165578,0,14810,4,245639
5,8900,36005008900,89,Census Tract 89,110291,0,23,2164,123
47,9000,36047009000,90,Census Tract 90,148493,0,213,177,137
5,9000,36005009000,90,Census Tract 90,1026815,1160798,71,1142,139
61,9000,36061009000,90,Census Tract 90,174692,0,19497,12,484020
81,9100,36081009100,91,Census Tract 91,186329,0,370,1453,2910
61,9100,36061009100,91,Census Tract 91,179099,0,27119,18,642312
47,9200,36047009200,92,Census Tract 92,113217,0,178,119,65
61,9200,36061009200,92,Census Tract 92,197023,0,45959,35,1318952
5,9200,36005009200,92,Census Tract 92,310475,0,52,4276,851
5,9300,36005009300,93,Census Tract 93,2307627,1595761,279,1318,363
61,9300,36061009300,93,Census Tract 93,179101,0,13829,7,359348
81,9400,36081009400,94,Census Tract 94,173696,0,28,154,29
47,9400,36047009400,94,Census Tract 94,151026,0,66,57,48
61,9400,36061009400,94,Census Tract 94,152754,0,43977,17,773699
81,9500,36081009500,95,Census Tract 95,164511,0,683,1927,5381
61,9500,36061009500,95,Census Tract 95,171964,0,26790,13,547716
81,9600,36081009600,96,Census Tract 96,206469,0,30,146,59
5,9600,36005009600,96,Census Tract 96,703455,15353,125,2679,145
61,9600,36061009600,96,Census Tract 96,175329,0,36261,15,538295
47,9600,36047009600,96,Census Tract 96,150752,0,135,180,100
85,9601,36085009601,96.01,Census Tract 96.01,776279,0,18,1,7
85,9602,36085009602,96.02,Census Tract 96.02,617605,0,14,4,7
85,9700,36085009700,97,Census Tract 97,1150436,520483,3,6,12
61,9700,36061009700,97,Census Tract 97,172931,0,4219,3,160193
81,9700,36081009700,97,Census Tract 97,201806,0,735,1852,2007
81,9800,36081009800,98,Census Tract 98,135751,0,54,128,40
61,9800,36061009800,98,Census Tract 98,177069,0,20451,18,706354
5,9800,36005009800,98,Census Tract 98,517451,0,32,763,84
47,9800,36047009800,98,Census Tract 98,151006,0,57,105,40
81,9900,36081009900,99,Census Tract 99,249218,0,154,513,1320
61,9900,36061009900,99,Census Tract 99,1002374,1130336,79634,60,1017717
81,10000,36081010000,100,Census Tract 100,223353,0,33,119,79
61,10000,36061010000,100,Census Tract 100,172894,0,44576,22,986563
47,10000,36047010000,100,Census Tract 100,150970,0,62,80,56
61,10100,36061010100,101,Census Tract 101,175518,0,45312,41,1945263
81,10100,36081010100,101,Census Tract 101,172758,0,377,2042,2153
47,10100,36047010100,101,Census Tract 101,314730,0,880,2403,2064
81,10200,36081010200,102,Census Tract 102,213860,0,30,82,56
47,10200,36047010200,102,Census Tract 102,152450,0,38,90,46
61,10200,36061010200,102,Census Tract 102,172891,0,58606,31,808661
81,10300,36081010300,103,Census Tract 103,250464,0,536,1934,2080
61,10300,36061010300,103,Census Tract 103,174470,0,14114,10,336478
81,10400,36081010400,104,Census Tract 104,186476,0,25,56,45
47,10400,36047010400,104,Census Tract 104,152312,0,36,46,46
61,10400,36061010400,104,Census Tract 104,173232,0,37792,27,662378
81,10500,36081010500,105,Census Tract 105,198021,0,198,565,416
85,10500,36085010500,105,Census Tract 105,816705,0,14,4,10
81,10600,36081010600,106,Census Tract 106,173008,0,98,218,67
47,10600,36047010600,106,Census Tract 106,150932,0,92,49,50
61,10601,36061010601,106.01,Census Tract 106.01,121208,130046,8460,73,201490
61,10602,36061010602,106.02,Census Tract 106.02,125711,73073,6482,84,192877
81,10701,36081010701,107.01,Census Tract 107.01,1600761,1367482,118,221,348
61,10800,36061010800,108,Census Tract 108,182589,0,16014,17,560461
81,10800,36081010800,108,Census Tract 108,157581,0,38,88,43
47,10800,36047010800,108,Census Tract 108,150979,0,58,54,47
61,10900,36061010900,109,Census Tract 109,175741,0,23161,22,585609
81,11000,36081011000,110,Census Tract 110,165044,0,28,79,54
61,11000,36061011000,110,Census Tract 110,176510,0,11575,27,499831
5,11000,36005011000,110,Census Tract 110,2073730,452399,28,275,133
47,11000,36047011000,110,Census Tract 110,158059,0,147,174,95
61,11100,36061011100,111,Census Tract 111,175465,0,18448,14,364136
81,11100,36081011100,111,Census Tract 111,150737,0,359,887,548
81,11200,36081011200,112,Census Tract 112,189452,0,33,49,25
47,11200,36047011200,112,Census Tract 112,171313,0,88,152,99
85,11201,36085011201,112.01,Census Tract 112.01,1607939,585976,5,4,18
61,11201,36061011201,112.01,Census Tract 112.01,79536,0,28447,13,494769
61,11202,36061011202,112.02,Census Tract 112.02,78008,0,25802,13,482638
85,11202,36085011202,112.02,Census Tract 112.02,1977524,741225,4,1,11
61,11203,36061011203,112.03,Census Tract 112.03,77947,0,15663,12,414906
81,11300,36081011300,113,Census Tract 113,178676,0,764,9818,5192
61,11300,36061011300,113,Census Tract 113,175653,0,36281,18,860784
81,11400,36081011400,114,Census Tract 114,119157,0,21,100,18
47,11400,36047011400,114,Census Tract 114,167792,0,386,721,117
85,11401,36085011401,114.01,Census Tract 114.01,526899,0,2,1,3
61,11401,36061011401,114.01,Census Tract 114.01,98508,0,23134,10,440407
85,11402,36085011402,114.02,Census Tract 114.02,579280,0,3,0,6
61,11402,36061011402,114.02,Census Tract 114.02,98799,0,11111,13,508980
81,11500,36081011500,115,Census Tract 115,185559,0,1240,53182,10968
61,11500,36061011500,115,Census Tract 115,175589,0,19583,26,635376
5,11502,36005011502,115.02,Census Tract 115.02,336295,10037,40,1036,103
61,11600,36061011600,116,Census Tract 116,195582,132923,7939,18,329155
81,11600,36081011600,116,Census Tract 116,136941,0,12,34,29
47,11600,36047011600,116,Census Tract 116,160266,0,40,35,33
81,11700,36081011700,117,Census Tract 117,212827,0,844,6677,3542
5,11700,36005011700,117,Census Tract 117,1357971,431176,51,446,57
61,11700,36061011700,117,Census Tract 117,187347,176830,12014,13,283190
47,11700,36047011700,117,Census Tract 117,201195,0,1394,2821,2909
81,11800,36081011800,118,Census Tract 118,157088,0,17,109,87
61,11800,36061011800,118,Census Tract 118,176768,0,16834,10,398018
47,11800,36047011800,118,Census Tract 118,219234,0,168,116,88
5,11800,36005011800,118,Census Tract 118,1078634,2788154,57,74,58
81,11900,36081011900,119,Census Tract 119,111475,0,334,4596,2228
61,11900,36061011900,119,Census Tract 119,177591,0,36340,25,804807
47,11900,36047011900,119,Census Tract 119,658816,59073,6820,20472,17287
5,11900,36005011900,119,Census Tract 119,167875,0,49,2302,54
81,12000,36081012000,120,Census Tract 120,144523,0,42,225,107
61,12000,36061012000,120,Census Tract 120,173024,0,11646,11,515674
47,12000,36047012000,120,Census Tract 120,193342,0,163,154,372
85,12100,36085012100,121,Census Tract 121,741916,0,16,4,2
81,12100,36081012100,121,Census Tract 121,137900,0,392,4302,3628
61,12100,36061012100,121,Census Tract 121,178161,0,23243,22,605059
47,12100,36047012100,121,Census Tract 121,148056,0,1941,6303,5591
5,12101,36005012101,121.01,Census Tract 121.01,115615,0,15,551,29
5,12102,36005012102,121.02,Census Tract 121.02,49498,0,5,666,9
81,12200,36081012200,122,Census Tract 122,210185,0,61,773,208
85,12200,36085012200,122,Census Tract 122,827812,0,5,1,
61,12200,36061012200,122,Census Tract 122,172616,0,17219,24,380104
47,12200,36047012200,122,Census Tract 122,181661,0,163,260,304
5,12300,36005012300,123,Census Tract 123,303328,0,68,1221,100
81,12301,36081012301,123.01,Census Tract 123.01,591516,0,707,2900,984
81,12400,36081012400,124,Census Tract 124,197659,0,54,214,124
61,12400,36061012400,124,Census Tract 124,171580,75103,12712,20,481830
85,12500,36085012500,125,Census Tract 125,457740,0,2,4,7
61,12500,36061012500,125,Census Tract 125,174253,0,34031,21,920101
81,12500,36081012500,125,Census Tract 125,163049,0,809,28680,16922
5,12500,36005012500,125,Census Tract 125,168791,0,33,1072,55
61,12600,36061012600,126,Census Tract 126,183653,0,17070,16,454189
47,12600,36047012600,126,Census Tract 126,235983,0,94,180,282
