Year	TeamID	Team	W	L	RS	RA	DOFF	at_time_pyth	preseason_talent	made_playoffs
2014	BAL	Orioles	55	45	509	346	54.7	0.53054609	79.82364821	1
2014	NYY	Yankees	53	48	500	415	30.4	0.470079638	82.73830295	0
2014	TOR	Blue Jays	54	49	474	425	30.3	0.522062316	79.70875854	0
2014	TBR	Rays	49	53	433	405	5.6	0.491008051	88.61638896	0
2014	BOS	Red Sox	47	55	467	445	2	0.465985266	88.31259597	0
2014	DET	Tigers	56	42	399	426	79.4	0.54975633	88.95962399	1
2014	CLE	Indians	51	50	396	344	15.2	0.503053366	79.4914937	0
2014	KCR	Royals	50	50	400	398	13.3	0.502293222	79.61292731	1
2014	CHW	White Sox	48	54	451	448	3.4	0.472477719	74.35650962	0
2014	MIN	Twins	46	54	403	411	2.2	0.466380442	71.2107938	0
2014	OAK	Athletics	63	38	435	462	81.4	0.669604521	88.19027418	0
2014	LAA	Angels	60	40	401	432	64.6	0.584429317	85.73813191	1
2014	SEA	Mariners	53	48	419	451	17.4	0.564049614	78.20505539	0
2014	HOU	Astros	42	60	395	494	0	0.399085005	65.80248422	0
2014	TEX	Rangers	40	62	411	523	0	0.391500691	85.36643341	0
2014	WSN	Nationals	55	44	457	428	67	0.58391953	87.01601608	1
2014	ATL	Braves	55	47	411	370	45.6	0.524002801	86.01699445	0
2014	NYM	Mets	48	53	420	349	5.9	0.505783637	74.83756643	0
2014	MIA	Marlins	48	53	425	384	5.5	0.469208536	69.57722898	0
2014	PHI	Phillies	44	58	391	371	0.4	0.433591645	75.17216384	0
2014	MIL	Brewers	57	45	372	364	62.2	0.529957863	79.69750109	0
2014	STL	Cardinals	54	47	423	413	36.1	0.509944732	89.14492761	1
2014	PIT	Pirates	54	47	389	377	38.6	0.51094375	80.1913661	0
2014	CIN	Reds	51	50	416	445	15.6	0.51433145	85.14124771	0
2014	CHC	Cubs	41	58	398	393	0.1	0.447752842	73.99294323	0
2014	SFG	Giants	57	45	312	347	67.3	0.547931133	83.97233637	1
2014	LAD	Dodgers	56	47	388	449	54.4	0.546278986	93.35162998	1
2014	SDP	Padres	44	56	406	475	0.8	0.451510746	78.868514	0
2014	ARI	Diamondbacks	44	58	387	434	0.4	0.428679741	80.49183194	0
2014	COL	Rockies	41	60	476	540	0.1	0.442540751	76.68090563	0
2013	BOS	Boston	65	44	545	448	69.05	0.588717566	83.06553292	1
2013	TBR	Tampa Bay	64	44	498	429	64.1	0.56781256	88.22700824	1
2013	BAL	Baltimore	59	49	504	484	23.5	0.518516326	76.36185333	0
2013	NYY	New York	56	51	412	418	9.85	0.493385813	91.03255847	0
2013	TOR	Toronto	50	57	494	514	0.4	0.481850832	81.4846736	0
2013	DET	Detroit	61	45	549	417	69.7	0.62322804	88.77278699	1
